count;acPlayerID;laPlayerID;newGame;NewValue;RandomValue;LastValue;look
197;0;2;0;11;64;65;1
198;0;2;1;55;55;11;0
199;1;0;0;66;64;55;1
200;1;0;1;32;32;66;0
201;2;1;0;52;52;32;0
202;0;2;0;55;55;52;0
203;1;0;0;66;53;55;1
204;1;0;1;42;42;66;0
205;2;1;0;54;54;42;0
206;0;2;0;61;42;54;0
207;1;0;0;66;66;61;0
208;2;1;0;21;54;66;1
209;2;1;1;54;54;21;0
210;0;2;0;61;51;54;0
211;1;0;0;44;44;61;0
212;2;1;0;55;22;44;1
213;2;1;1;61;61;55;0
214;0;2;0;63;63;61;1
215;1;0;1;32;32;63;0
216;2;1;0;54;54;32;0
217;0;2;0;64;64;54;0
218;1;0;0;65;61;64;1
219;1;0;1;44;44;65;0
220;2;1;0;55;52;44;1
221;2;1;1;33;33;55;0
222;0;2;0;44;61;33;1
223;0;2;1;42;42;44;0
224;1;0;0;55;55;42;0
225;2;1;0;66;53;55;1
226;2;1;1;21;21;66;0
227;0;2;1;62;62;21;0
228;1;0;0;63;53;62;1
229;1;0;1;51;51;63;0
230;2;1;0;52;51;51;1
231;2;1;1;62;62;52;0
232;0;2;0;21;21;62;0
233;1;0;1;21;21;21;0
234;2;1;1;21;21;21;0
235;0;2;1;65;65;21;0
236;1;0;0;11;54;65;1
237;1;0;1;22;22;11;0
238;2;1;0;33;52;22;1
239;2;1;1;31;31;33;0
240;0;2;0;41;41;31;0
241;1;0;0;43;43;41;0
242;2;1;0;33;33;43;0
243;0;2;0;44;33;33;1
244;0;2;1;55;55;44;0
245;1;0;0;66;51;55;1
246;1;0;1;53;53;66;0
247;2;1;0;44;44;53;0
248;0;2;0;55;62;44;1
249;0;2;1;65;65;55;0
250;1;0;0;11;31;65;1
251;1;0;1;44;44;11;0
252;2;1;0;55;54;44;1
253;2;1;1;62;62;55;0
254;0;2;0;63;42;62;1
255;0;2;1;21;21;63;0
256;1;0;1;32;32;21;0
257;2;1;0;43;43;32;0
258;0;2;0;44;44;43;0
259;1;0;0;55;52;44;1
260;1;0;1;42;42;55;0
261;2;1;0;54;54;42;0
262;0;2;0;21;21;54;0
263;1;0;1;65;65;21;0
264;2;1;0;11;42;65;1
265;2;1;1;22;22;11;0
266;0;2;0;33;52;22;1
267;0;2;1;65;65;33;0
268;1;0;0;11;52;65;1
269;1;0;1;54;54;11;0
270;2;1;0;65;65;54;0
271;0;2;0;11;62;65;1
272;0;2;1;11;11;11;0
273;1;0;0;22;22;11;1
274;2;1;1;51;51;22;0
275;0;2;0;62;62;51;0
276;1;0;0;63;52;62;1
277;1;0;1;21;21;63;0
278;2;1;1;41;41;21;0
279;0;2;0;33;33;41;0
280;1;0;0;44;42;33;1
281;1;0;1;52;52;44;0
282;2;1;0;53;32;52;0
283;0;2;0;64;64;53;0
284;1;0;0;65;64;64;1
285;1;0;1;32;32;65;0
286;2;1;0;65;65;32;0
287;0;2;0;11;43;65;1
288;0;2;1;64;64;11;0
289;1;0;0;44;44;64;0
290;2;1;0;55;52;44;1
291;2;1;1;31;31;55;0
292;0;2;0;32;31;31;0
293;1;0;0;41;41;32;0
294;2;1;0;42;31;41;1
295;2;1;1;53;53;42;0
296;0;2;0;54;31;53;0
297;1;0;0;21;21;54;0
298;2;1;1;41;41;21;0
299;0;2;0;21;21;41;0
300;1;0;1;21;21;21;0
301;2;1;1;63;63;21;0
302;0;2;0;64;63;63;1
303;0;2;1;53;53;64;0
304;1;0;0;54;41;53;1
305;1;0;1;62;62;54;0
306;2;1;0;63;62;62;1
307;2;1;1;11;11;63;0
308;0;2;0;21;21;11;0
309;1;0;1;32;32;21;0
310;2;1;0;62;62;32;0
311;0;2;0;63;32;62;1
312;0;2;1;64;64;63;0
313;1;0;0;65;61;64;1
314;1;0;1;21;21;65;0
315;2;1;1;21;21;21;0
316;0;2;1;52;52;21;0
317;1;0;0;53;41;52;1
318;1;0;1;41;41;53;0
319;2;1;0;62;62;41;0
320;0;2;0;55;55;62;0
321;1;0;0;66;42;55;1
322;1;0;1;52;52;66;0
323;2;1;0;62;62;52;0
324;0;2;0;63;62;62;1
325;0;2;1;61;61;63;0
326;1;0;0;62;61;61;1
327;1;0;1;52;52;62;0
328;2;1;0;53;51;52;1
329;2;1;1;53;53;53;0
330;0;2;0;63;63;53;0
331;1;0;0;22;22;63;0
332;2;1;0;21;21;22;0
333;0;2;1;32;32;21;0
334;1;0;0;63;63;32;0
335;2;1;0;64;42;63;1
336;2;1;1;53;53;64;0
337;0;2;0;54;43;53;1
338;0;2;1;54;54;54;0
339;1;0;0;61;31;54;1
340;1;0;1;66;66;61;0
341;2;1;0;21;52;66;1
342;2;1;1;61;61;21;0
343;0;2;0;63;63;61;0
344;1;0;0;64;61;63;1
345;1;0;1;66;66;64;0
346;2;1;0;21;41;66;1
347;2;1;1;21;21;21;0
348;0;2;1;62;62;21;0
349;1;0;0;64;64;62;1
350;2;1;1;52;52;64;0
351;0;2;0;61;61;52;0
352;1;0;0;62;41;61;1
353;1;0;1;32;32;62;0
354;2;1;0;33;33;32;0
355;0;2;0;44;62;33;1
356;0;2;1;21;21;44;0
357;1;0;1;52;52;21;0
358;2;1;0;53;42;52;1
359;2;1;1;53;53;53;0
360;0;2;0;54;32;53;1
361;0;2;1;64;64;54;0
362;1;0;0;33;33;64;0
363;2;1;0;44;22;33;1
364;2;1;1;43;43;44;0
365;0;2;0;53;53;43;0
366;1;0;0;61;61;53;0
367;2;1;0;62;52;61;1
368;2;1;1;43;43;62;0
369;0;2;0;51;43;43;1
370;0;2;1;43;43;51;0
371;1;0;0;51;41;43;1
372;1;0;1;42;42;51;0
373;2;1;0;52;52;42;0
374;0;2;0;44;44;52;0
375;1;0;0;55;63;44;1
376;1;0;1;44;44;55;0
377;2;1;0;55;54;44;1
378;2;1;1;64;64;55;0
379;0;2;0;65;31;64;1
380;0;2;1;62;62;65;0
381;1;0;0;63;43;62;1
382;1;0;1;51;51;63;0
383;2;1;0;21;21;51;0
384;0;2;1;63;63;21;0
385;1;0;0;22;22;63;0
386;2;1;0;33;62;22;1
387;2;1;1;51;51;33;0
388;0;2;0;52;43;51;1
389;0;2;1;65;65;52;0
390;1;0;0;11;65;65;1
391;1;0;1;53;53;11;0
392;2;1;0;62;62;53;0
393;0;2;0;66;66;62;0
394;1;0;0;21;32;66;1
395;1;0;1;41;41;21;0
396;2;1;0;42;31;41;1
397;2;1;1;41;41;42;0
398;0;2;0;43;43;41;0
399;1;0;0;62;62;43;0
