count;acPlayerID;laPlayerID;newGame;NewValue;RandomValue;LastValue;look
197;1;0;1;33;33;33;1
198;2;1;1;65;65;33;1
199;0;2;1;52;52;65;0
200;1;0;0;65;43;52;1
201;1;0;1;51;51;65;0
202;2;1;0;63;63;51;1
203;0;2;1;51;51;63;0
204;1;0;0;54;32;51;0
205;2;1;0;61;61;54;1
206;0;2;1;64;64;61;1
207;1;0;1;43;43;64;0
208;2;1;0;65;41;43;1
209;2;1;1;42;42;65;0
210;0;2;0;64;64;42;1
211;1;0;1;41;41;64;0
212;2;1;0;21;21;41;1
213;0;2;1;52;52;21;0
214;1;0;0;33;33;52;1
215;2;1;1;51;51;33;0
216;0;2;0;21;21;51;1
217;1;0;1;64;64;21;1
218;2;1;1;21;21;64;1
219;0;2;1;52;52;21;0
220;1;0;0;62;31;52;1
221;1;0;1;64;64;62;1
222;2;1;1;51;51;64;0
223;0;2;0;62;62;51;1
224;1;0;1;21;21;62;1
225;2;1;1;64;64;21;1
226;0;2;1;63;63;64;1
227;1;0;1;44;44;63;1
228;2;1;1;51;51;44;0
229;0;2;0;44;41;51;1
230;0;2;1;64;64;44;1
231;1;0;1;43;43;64;0
232;2;1;0;44;44;43;1
233;0;2;1;32;32;44;0
234;1;0;0;66;31;32;1
235;1;0;1;31;31;66;0
236;2;1;0;52;52;31;0
237;0;2;0;65;51;52;1
238;0;2;1;43;43;65;0
239;1;0;0;44;44;43;1
240;2;1;1;61;61;44;1
241;0;2;1;51;51;61;0
242;1;0;0;53;53;51;0
243;2;1;0;22;53;53;1
244;2;1;1;63;63;22;1
245;0;2;1;61;61;63;1
246;1;0;1;41;41;61;0
247;2;1;0;63;32;41;1
248;2;1;1;61;61;63;1
249;0;2;1;21;21;61;1
250;1;0;1;63;63;21;1
251;2;1;1;32;32;63;0
252;0;2;0;44;31;32;1
253;0;2;1;62;62;44;1
254;1;0;1;22;22;62;1
255;2;1;1;41;41;22;0
256;0;2;0;21;21;41;1
257;1;0;1;53;53;21;0
258;2;1;0;21;21;53;1
259;0;2;1;54;54;21;0
260;1;0;0;61;61;54;1
261;2;1;1;42;42;61;0
262;0;2;0;64;42;42;1
263;0;2;1;62;62;64;1
264;1;0;1;53;53;62;0
265;2;1;0;55;55;53;1
266;0;2;1;51;51;55;0
267;1;0;0;53;53;51;0
268;2;1;0;54;54;53;0
269;0;2;0;64;43;54;1
270;0;2;1;63;63;64;1
271;1;0;1;53;53;63;0
272;2;1;0;44;44;53;1
273;0;2;1;64;64;44;1
274;1;0;1;41;41;64;0
275;2;1;0;53;53;41;0
276;0;2;0;65;65;53;1
277;1;0;1;44;44;65;1
278;2;1;1;66;66;44;1
279;0;2;1;62;62;66;1
280;1;0;1;42;42;62;0
281;2;1;0;66;66;42;1
282;0;2;1;61;61;66;1
283;1;0;1;41;41;61;0
284;2;1;0;61;32;41;1
285;2;1;1;51;51;61;0
286;0;2;0;21;21;51;1
287;1;0;1;32;32;21;0
288;2;1;0;54;54;32;0
289;0;2;0;55;32;54;1
290;0;2;1;54;54;55;0
291;1;0;0;61;61;54;1
292;2;1;1;31;31;61;0
293;0;2;0;64;64;31;1
294;1;0;1;33;33;64;1
295;2;1;1;52;52;33;0
296;0;2;0;22;22;52;1
297;1;0;1;62;62;22;1
298;2;1;1;22;22;62;1
299;0;2;1;55;55;22;1
300;1;0;1;65;65;55;1
301;2;1;1;64;64;65;1
302;0;2;1;44;44;64;1
303;1;0;1;22;22;44;1
304;2;1;1;63;63;22;1
305;0;2;1;32;32;63;0
306;1;0;0;61;61;32;1
307;2;1;1;53;53;61;0
308;0;2;0;22;22;53;1
309;1;0;1;22;22;22;1
310;2;1;1;21;21;22;1
311;0;2;1;31;31;21;0
312;1;0;0;63;63;31;1
313;2;1;1;64;64;63;1
314;0;2;1;22;22;64;1
315;1;0;1;42;42;22;0
316;2;1;0;54;54;42;0
317;0;2;0;21;51;54;1
318;0;2;1;62;62;21;1
319;1;0;1;65;65;62;1
320;2;1;1;53;53;65;0
321;0;2;0;53;42;53;0
322;1;0;0;21;21;53;1
323;2;1;1;63;63;21;1
324;0;2;1;52;52;63;0
325;1;0;0;21;21;52;1
326;2;1;1;61;61;21;1
327;0;2;1;32;32;61;0
328;1;0;0;64;64;32;1
329;2;1;1;31;31;64;0
330;0;2;0;63;63;31;1
331;1;0;1;31;31;63;0
332;2;1;0;41;41;31;0
333;0;2;0;52;52;41;0
334;1;0;0;62;62;52;1
335;2;1;1;53;53;62;0
336;0;2;0;54;52;53;0
337;1;0;0;62;62;54;1
338;2;1;1;31;31;62;0
