count;acPlayerID;laPlayerID;newGame;NewValue;RandomValue;LastValue;look
0;0;2;1;11;11;0;1
1;1;0;1;64;64;11;1
2;2;1;1;55;55;64;1
3;0;2;1;21;21;55;1
4;1;0;1;66;66;21;1
5;2;1;1;61;61;66;1
6;0;2;1;41;41;61;0
7;1;0;0;61;31;41;1
8;1;0;1;11;11;61;1
9;2;1;1;44;44;11;1
10;0;2;1;61;61;44;1
11;1;0;1;44;44;61;1
12;2;1;1;64;64;44;1
13;0;2;1;65;65;64;1
14;1;0;1;63;63;65;1
15;2;1;1;63;63;63;1
16;0;2;1;51;51;63;0
17;1;0;0;55;51;51;1
18;1;0;1;61;61;55;1
19;2;1;1;42;42;61;0
20;0;2;0;43;43;42;0
21;1;0;0;44;44;43;1
22;2;1;1;62;62;44;1
23;0;2;1;54;54;62;0
24;1;0;0;63;63;54;1
25;2;1;1;52;52;63;0
26;0;2;0;61;61;52;1
27;1;0;1;62;62;61;1
28;2;1;1;43;43;62;0
29;0;2;0;11;42;43;1
30;0;2;1;54;54;11;0
31;1;0;0;63;63;54;1
32;2;1;1;55;55;63;1
33;0;2;1;65;65;55;1
34;1;0;1;61;61;65;1
35;2;1;1;61;61;61;1
36;0;2;1;43;43;61;0
37;1;0;0;44;44;43;1
38;2;1;1;51;51;44;0
39;0;2;0;62;62;51;1
40;1;0;1;63;63;62;1
41;2;1;1;22;22;63;1
42;0;2;1;51;51;22;0
43;1;0;0;62;41;51;1
44;1;0;1;63;63;62;1
45;2;1;1;61;61;63;1
46;0;2;1;51;51;61;0
47;1;0;0;62;43;51;1
48;1;0;1;61;61;62;1
49;2;1;1;55;55;61;1
50;0;2;1;53;53;55;0
51;1;0;0;62;62;53;1
52;2;1;1;62;62;62;1
53;0;2;1;63;63;62;1
54;1;0;1;43;43;63;0
55;2;1;0;11;32;43;1
56;2;1;1;44;44;11;1
57;0;2;1;43;43;44;0
58;1;0;0;65;65;43;1
59;2;1;1;41;41;65;0
60;0;2;0;53;53;41;0
61;1;0;0;64;64;53;1
62;2;1;1;42;42;64;0
63;0;2;0;62;42;42;1
64;0;2;1;66;66;62;1
65;1;0;1;31;31;66;0
66;2;1;0;41;41;31;0
67;0;2;0;65;65;41;1
68;1;0;1;62;62;65;1
69;2;1;1;66;66;62;1
70;0;2;1;62;62;66;1
71;1;0;1;33;33;62;1
72;2;1;1;52;52;33;0
73;0;2;0;65;52;52;1
74;0;2;1;51;51;65;0
75;1;0;0;63;63;51;1
76;2;1;1;63;63;63;1
77;0;2;1;21;21;63;1
78;1;0;1;42;42;21;0
79;2;1;0;11;11;42;1
80;0;2;1;63;63;11;1
81;1;0;1;31;31;63;0
82;2;1;0;54;54;31;0
83;0;2;0;61;61;54;1
84;1;0;1;62;62;61;1
85;2;1;1;61;61;62;1
86;0;2;1;62;62;61;1
87;1;0;1;22;22;62;1
88;2;1;1;62;62;22;1
89;0;2;1;65;65;62;1
90;1;0;1;62;62;65;1
91;2;1;1;64;64;62;1
92;0;2;1;64;64;64;1
93;1;0;1;52;52;64;0
94;2;1;0;65;52;52;1
95;2;1;1;53;53;65;0
96;0;2;0;61;53;53;1
97;0;2;1;54;54;61;0
98;1;0;0;55;55;54;1
99;2;1;1;22;22;55;1
100;0;2;1;65;65;22;1
101;1;0;1;53;53;65;0
102;2;1;0;63;41;53;1
103;2;1;1;32;32;63;0
104;0;2;0;64;64;32;1
105;1;0;1;51;51;64;0
106;2;1;0;66;41;51;1
107;2;1;1;33;33;66;1
108;0;2;1;52;52;33;0
109;1;0;0;55;52;52;1
110;1;0;1;63;63;55;1
111;2;1;1;32;32;63;0
112;0;2;0;54;54;32;0
113;1;0;0;61;31;54;1
114;1;0;1;64;64;61;1
115;2;1;1;65;65;64;1
116;0;2;1;51;51;65;0
117;1;0;0;61;61;51;1
118;2;1;1;54;54;61;0
119;0;2;0;61;43;54;1
120;0;2;1;66;66;61;1
121;1;0;1;64;64;66;1
122;2;1;1;52;52;64;0
123;0;2;0;64;64;52;1
124;1;0;1;51;51;64;0
125;2;1;0;63;51;51;1
